#,order_details_id,order_id,customer_id,employee_id,product_id,shipper_id,supplier_id,category_id
1,163,10308,2,7,70,3,7,1
2,162,10308,2,7,69,3,15,4
3,360,10383,4,8,56,3,26,5
4,359,10383,4,8,50,3,23,3
5,286,10355,4,6,57,1,26,5
6,358,10383,4,8,13,3,6,8
7,285,10355,4,6,24,1,10,1
8,80,10278,5,8,59,2,28,4
9,82,10278,5,8,73,2,17,8
10,81,10278,5,8,63,2,7,2
11,79,10278,5,8,44,2,20,2
12,303,10360,7,4,54,3,25,6
13,302,10360,7,4,49,3,23,3
14,134,10297,7,5,72,2,14,4
15,301,10360,7,4,38,3,18,1
16,300,10360,7,4,29,3,12,6
17,299,10360,7,4,28,3,12,7
18,133,10297,7,5,39,2,18,1
19,209,10326,8,4,75,2,12,1
20,208,10326,8,4,57,2,26,5
21,207,10326,8,4,4,2,2,2
22,223,10331,9,9,54,1,25,6
23,377,10389,10,4,62,2,29,3
24,438,10411,10,9,59,3,28,4
25,378,10389,10,4,70,2,7,1
26,376,10389,10,4,55,2,25,6
27,488,10431,10,4,47,2,22,3
28,487,10431,10,4,40,2,19,8
29,437,10411,10,9,44,3,20,2
30,436,10411,10,9,41,3,19,8
31,486,10431,10,4,17,2,7,6
32,375,10389,10,4,10,2,4,8
33,111,10289,11,7,64,3,12,5
34,110,10289,11,7,3,3,1,2
35,34,10259,13,4,37,3,17,8
36,33,10259,13,4,21,3,8,3
37,329,10370,14,6,74,2,4,7
38,328,10370,14,6,64,2,12,5
39,20,10254,14,5,74,2,4,7
40,19,10254,14,5,55,2,25,6
41,327,10370,14,6,1,2,1,1
42,18,10254,14,5,24,2,10,1
43,115,10290,15,8,77,1,12,2
44,114,10290,15,8,49,1,23,3
45,113,10290,15,8,29,1,12,6
46,112,10290,15,8,5,1,2,2
47,496,10435,16,8,72,2,14,4
48,495,10435,16,8,22,2,9,5
49,494,10435,16,8,2,2,1,1
50,311,10363,17,4,76,3,23,1
51,310,10363,17,4,75,3,12,1
52,309,10363,17,4,31,3,14,4
53,485,10430,20,4,59,1,28,4
54,484,10430,20,4,56,1,26,5
55,414,10402,20,8,63,2,7,2
56,382,10390,20,6,72,1,14,4
57,357,10382,20,4,74,1,4,7
58,47,10263,20,9,74,3,4,7
59,416,10403,20,4,48,3,22,3
60,381,10390,20,6,46,1,21,8
61,380,10390,20,6,35,1,16,1
62,379,10390,20,6,31,1,14,4
63,356,10382,20,4,33,1,15,4
64,355,10382,20,4,29,1,12,6
65,46,10263,20,9,30,3,13,8
66,483,10430,20,4,21,1,8,3
67,482,10430,20,4,17,1,7,6
68,415,10403,20,4,16,3,7,3
69,413,10402,20,8,23,2,9,5
70,354,10382,20,4,18,1,7,8
71,353,10382,20,4,5,1,2,2
72,45,10263,20,9,24,3,10,1
73,44,10263,20,9,16,3,7,3
74,269,10347,21,4,75,3,12,1
75,367,10386,21,9,34,3,16,1
76,268,10347,21,4,40,3,19,8
77,267,10347,21,4,39,3,18,1
78,266,10347,21,4,25,3,11,3
79,366,10386,21,9,24,3,10,1
80,431,10408,23,8,62,1,29,3
81,430,10408,23,8,54,1,25,6
82,429,10408,23,8,37,1,17,8
83,344,10378,24,5,71,3,15,4
84,49,10264,24,6,41,3,19,8
85,48,10264,24,6,2,3,1,1
86,54,10267,25,4,59,1,28,4
87,255,10342,25,4,55,2,25,6
88,241,10337,25,4,72,3,14,4
89,55,10267,25,4,76,1,23,1
90,254,10342,25,4,36,2,17,8
91,253,10342,25,4,31,2,14,4
92,240,10337,25,4,37,3,17,8
93,239,10337,25,4,36,3,17,8
94,238,10337,25,4,26,3,11,3
95,53,10267,25,4,40,1,19,8
96,252,10342,25,4,2,2,1,1
97,237,10337,25,4,23,3,9,5
98,216,10328,28,4,68,3,8,3
99,214,10328,28,4,59,3,28,4
100,215,10328,28,4,65,3,2,2
101,477,10426,29,4,64,1,12,5
102,476,10426,29,4,56,1,26,5
103,316,10366,29,8,77,2,12,2
104,315,10366,29,8,65,2,2,2
105,150,10303,30,7,68,2,8,3
106,149,10303,30,7,65,2,2,2
107,148,10303,30,7,40,2,19,8
108,470,10423,31,6,59,3,28,4
109,469,10423,31,6,31,3,14,4
110,57,10268,33,8,72,3,14,4
111,56,10268,33,8,29,3,12,6
112,8,10250,34,4,65,2,2,2
113,7,10250,34,4,51,2,24,7
114,6,10250,34,4,41,2,19,8
115,394,10395,35,6,69,1,15,4
116,393,10395,35,6,53,1,24,6
117,29,10257,35,4,77,3,12,2
118,392,10395,35,6,46,1,21,8
119,28,10257,35,4,39,3,18,1
120,27,10257,35,4,27,3,11,3
121,138,10298,37,6,62,2,29,3
122,137,10298,37,6,59,2,28,4
123,351,10380,37,8,70,3,7,1
124,350,10380,37,8,60,3,28,4
125,349,10380,37,8,53,3,24,6
126,336,10373,37,4,71,3,15,4
127,335,10373,37,4,58,3,27,8
128,235,10335,37,7,51,2,24,7
129,348,10380,37,8,30,3,13,8
130,234,10335,37,7,32,2,14,4
131,233,10335,37,7,31,2,14,4
132,136,10298,37,6,36,2,17,8
133,232,10335,37,7,2,2,1,1
134,135,10298,37,6,2,2,1,1
135,187,10318,38,8,76,2,23,1
136,182,10315,38,4,70,2,7,1
137,186,10318,38,8,41,2,19,8
138,181,10315,38,4,34,2,16,1
139,196,10323,39,4,39,1,18,1
140,195,10323,39,4,25,1,11,3
141,194,10323,39,4,15,1,6,2
142,475,10425,41,6,76,2,23,1
143,474,10425,41,6,55,2,25,6
144,274,10350,41,6,69,2,15,4
145,273,10350,41,6,50,2,23,3
146,295,10358,41,5,36,1,17,8
147,294,10358,41,5,34,1,16,1
148,293,10358,41,5,24,1,10,1
149,258,10343,44,4,76,1,23,1
150,257,10343,44,4,68,1,8,3
151,256,10343,44,4,64,1,12,5
152,99,10284,44,4,67,1,16,1
153,98,10284,44,4,60,1,28,4
154,97,10284,44,4,44,1,20,2
155,96,10284,44,4,27,1,11,3
156,83,10279,44,8,17,2,7,6
157,132,10296,46,6,69,1,15,4
158,131,10296,46,6,16,1,7,3
159,130,10296,46,6,11,1,5,4
160,185,10317,48,6,1,1,1,1
161,508,10439,51,6,74,3,4,7
162,507,10439,51,6,64,3,12,5
163,473,10424,51,7,68,2,8,3
164,472,10424,51,7,38,2,18,1
165,471,10424,51,7,35,2,16,1
166,506,10439,51,6,16,3,7,3
167,505,10439,51,6,12,3,5,4
168,37,10260,55,4,62,1,29,3
169,38,10260,55,4,70,1,7,1
170,36,10260,55,4,57,1,26,5
171,243,10338,55,4,30,3,13,8
172,156,10305,55,8,39,3,18,1
173,155,10305,55,8,29,3,12,6
174,35,10260,55,4,41,1,19,8
175,242,10338,55,4,17,3,7,6
176,154,10305,55,8,18,3,7,8
177,193,10322,58,7,52,3,24,5
178,284,10354,58,8,29,3,12,6
179,283,10354,58,8,1,3,1,1
180,282,10353,59,7,38,3,18,1
181,478,10427,59,4,14,2,6,7
182,281,10353,59,7,11,3,5,4
183,399,10397,60,5,51,1,24,7
184,398,10397,60,5,21,1,8,3
185,236,10336,60,7,4,2,2,2
186,467,10421,61,8,77,1,12,2
187,466,10421,61,8,53,1,24,6
188,118,10291,61,6,51,2,24,7
189,465,10421,61,8,26,1,11,3
190,117,10291,61,6,44,2,20,2
191,40,10261,61,4,35,2,16,1
192,464,10421,61,8,19,1,8,3
193,116,10291,61,6,13,2,6,8
194,39,10261,61,4,21,2,8,3
195,334,10372,62,5,72,2,14,4
196,333,10372,62,5,60,2,28,4
197,425,10406,62,7,40,1,19,8
198,424,10406,62,7,36,1,17,8
199,423,10406,62,7,28,1,12,7
200,332,10372,62,5,38,2,18,1
201,422,10406,62,7,21,1,8,3
202,421,10406,62,7,1,1,1,1
203,331,10372,62,5,20,2,8,3
204,456,10418,63,4,61,1,29,2
205,104,10286,63,8,62,3,29,3
206,457,10418,63,4,74,1,4,7
207,455,10418,63,4,47,1,22,3
208,103,10286,63,8,35,3,16,1
209,454,10418,63,4,2,1,1,1
210,128,10294,65,4,75,2,12,1
211,127,10294,65,4,60,2,28,4
212,65,10272,65,6,72,2,14,4
213,43,10262,65,8,56,3,26,5
214,126,10294,65,4,43,2,20,1
215,64,10272,65,6,31,2,14,4
216,125,10294,65,4,17,2,7,6
217,124,10294,65,4,1,2,1,1
218,63,10272,65,6,20,2,8,3
219,42,10262,65,8,7,3,3,7
220,41,10262,65,8,5,3,2,2
221,109,10288,66,4,68,1,8,3
222,108,10288,66,4,54,1,25,6
223,518,10443,66,8,28,1,12,7
224,479,10428,66,7,46,1,21,8
225,517,10443,66,8,11,1,5,4
226,140,10299,67,4,70,2,7,1
227,107,10287,67,8,46,3,21,8
228,106,10287,67,8,34,3,16,1
229,139,10299,67,4,19,2,8,3
230,105,10287,67,8,16,3,7,3
231,24,10255,68,9,59,3,28,4
232,459,10419,68,4,69,2,15,4
233,458,10419,68,4,60,2,28,4
234,23,10255,68,9,36,3,17,8
235,22,10255,68,9,16,3,7,3
236,21,10255,68,9,2,3,1,1
237,91,10282,69,4,57,1,26,5
238,90,10282,69,4,30,1,13,8
239,89,10281,69,4,35,1,16,1
240,88,10281,69,4,24,1,10,1
241,87,10281,69,4,19,1,8,3
242,512,10440,71,4,61,2,29,2
243,201,10324,71,9,63,1,7,2
244,200,10324,71,9,59,1,28,4
245,511,10440,71,4,29,2,12,6
246,199,10324,71,9,46,1,21,8
247,198,10324,71,9,35,1,16,1
248,510,10440,71,4,16,2,7,3
249,509,10440,71,4,2,2,1,1
250,197,10324,71,9,16,1,7,3
251,298,10359,72,5,60,3,28,4
252,297,10359,72,5,31,3,14,4
253,296,10359,72,5,16,3,7,3
254,453,10417,73,4,77,3,12,2
255,452,10417,73,4,68,3,8,3
256,251,10341,73,7,59,3,28,4
257,451,10417,73,4,46,3,21,8
258,450,10417,73,4,38,3,18,1
259,250,10341,73,7,33,3,15,4
260,326,10369,75,8,56,2,26,5
261,272,10349,75,7,54,1,25,6
262,220,10329,75,4,56,2,26,5
263,325,10369,75,8,29,2,12,6
264,219,10329,75,4,38,2,18,1
265,218,10329,75,4,30,2,13,8
266,62,10271,75,6,33,2,15,4
267,217,10329,75,4,19,2,8,3
268,14,10252,76,4,60,2,28,4
269,147,10302,76,4,43,2,20,1
270,146,10302,76,4,28,2,12,7
271,13,10252,76,4,33,2,15,4
272,145,10302,76,4,17,2,7,6
273,12,10252,76,4,20,2,8,3
274,170,10310,77,8,62,2,29,3
275,169,10310,77,8,16,2,7,3
276,190,10319,80,7,76,3,23,1
277,189,10319,80,7,28,3,12,7
278,188,10319,80,7,17,3,7,6
279,76,10276,80,8,13,3,6,8
280,75,10276,80,8,10,3,4,8
281,5,10249,81,6,51,1,24,7
